uniqueID,title,Longitude,Latitude,clinicAddressLine1,clinicAddressLine2,suburb,state,postcode,locationInstructions,driveThroughTesting,wheelchairAccessible,walkInAllowed,bookingRequired,bookingLink,bookingPhoneNumber,ageLimit,referralRequired,mondayOpeningHours,mondayBreakStartTime,mondayBreakEndTime,mondayClosingHours,tuesdayOpeningHours,tuesdayBreakStartTime,tuesdayBreakEndTime,tuesdayClosingHours,wednesdayOpeningHours,wednesdayBreakStartTime,wednesdayBreakEndTime,wednesdayClosingHours,thursdayOpeningHours,thursdayBreakStartTime,thursdayBreakEndTime,thursdayClosingHours,fridayOpeningHours,fridayBreakStartTime,fridayBreakEndTime,fridayClosingHours,saturdayOpeningHours,saturdayBreakStartTime,saturdayBreakEndTime,saturdayClosingHours,sundayOpeningHours,sundayBreakStartTime,sundayBreakEndTime,sundayClosingHours,specialInstructions,resultsInstructions,closureInstructions,ageRestrictionInstructions,bookingInstructions,otherInstructions,providerWebsite,lastUpdated
CID00032,Barratt and Smith Pathology Mildura,142.145098697722,-34.1843164439932,,127 Langtree Avenue,Mildura,VIC,3500,,N,N,Y,Y,,(03) 5055 0400,,N,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,,,,,,,,2021-12-21 9:45 am
CID00038,Bathurst Drive-through Clinic,149.57947313817,-33.4152354478286,Old Clancy's Car Yard,250-252 Howick Street,Bathurst,NSW,2795,"Enter via RSL Carpark, Rankin Street entrance.",Y,Y,Y,N,,,,N,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,10:00 AM,,,3:00 PM,10:00 AM,,,3:00 PM,,,,,,,,2023-04-18 9:45 am
CID00043,Bella Vista Clinical Labs Pathology Walk-In Clinic,150.947399162084,-33.7365089633922,Unit 112,14 Lexington Drive,Bella Vista,NSW,2153,,N,Y,Y,Y,https://clinicallabs.simplybook.me/v2/,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-04-04 2:45 pm
CID00044,Bellambi Histopath Drive-through Clinic,150.924338110173,-34.3693465673394,Soccer Field Carpark,Armour Street,Bellambi,NSW,2518,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00047,Belmore Respiratory Clinic,151.0901489,-33.9205457,,479 Burwood Road,Belmore,NSW,2192,Enter the driveway and stay in car with window closed and staff will assist accordingly.,Y,N,N,Y,https://www.hotdoc.com.au/medical-centres/book/appointment/patient?clinic=4344,,,N,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,2:00 PM,,,,,,,,2023-01-10 5:00 pm
CID00048,Benalla Health Hospital Clinic,145.993650582117,-36.5547732217056,,45-63 Coster Street,Benalla,VIC,3672,,N,N,N,Y,,(03) 5761 4284,,N,9:30 AM,,,6:00 PM,9:30 AM,,,6:00 PM,9:30 AM,,,6:00 PM,9:30 AM,,,6:00 PM,9:30 AM,,,6:00 PM,1:30 PM,,,3:30 PM,1:30 PM,,,3:30 PM,,,,,,,,2023-01-10 5:00 pm
CID00049,Berkeley Southern.IML Pathology Drive-through Clinic,150.834846003238,-34.4787292480818,Illawarra Sports Stadium Car Park,"Fred Finch Park, Hooka Creek Road",Berkeley,NSW,2506,,Y,Y,N,N,,,,N,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,,,,,,,,,,1300 652 200,,,,Closed on public holidays.,https://www.southernpath.com.au/,2023-04-18 4:00 pm
CID00051,Blacktown 4Cyte Pathology Drive-through and Walk-in Clinic,150.910593613461,-33.7656059659371,,20 Third Avenue,Blacktown,NSW,2148,,Y,Y,Y,N,,,,N,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00058,Blayney Drive-through Clinic,149.250678754804,-33.5377282988777,,3 Osman Street,Blayney,NSW,2799,,Y,Y,N,Y,,02 6368 9000,2+,N,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,,,,,,,,,,,,"Children under the age 2 years will not be tested at this clinic.
Children should attend their nearest Emergency Department so a full medical assessment can be undertaken.",,Closed on public holidays.,,2023-01-18 9:30 am
CID00061,Bomaderry Histopath Pathology Drive-through Clinic,150.601071145725,-34.8463077667588,Shoalhaven Indoor Sports Centre Car Park,90 Cambewarra Road,Bomaderry,NSW,2541,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00064,Bondi Junction 4Cyte Pathology Walk-in Clinic,151.2477432,-33.8939983,,50 Bronte Road,Bondi Junction,NSW,2022,,N,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-01-23 8:15 am
CID00066,Bondi Junction GP Respiratory Clinic,151.2466185,-33.8925119,,47 Spring Street,Bondi Junction,NSW,2022,,N,N,Y,Y,https://www.hotdoc.com.au/medical-centres/bondi-junction-NSW-2022/bondi-junction-respiratory-clinic/doctors?purpose=respiratory,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,4:30 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,12:30 PM,,,,,,,,,,,,2023-01-03 2:30 pm
CID00079,Burwood 4Cyte Pathology Walk-in Clinic,151.103953523882,-33.8782034690496,,188-190 Burwood Road,Burwood,NSW,2134,Walk-in via front entry only.,N,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-01-23 8:15 am
CID00082,Byron Central Hospital Clinic,153.5558978,-28.6373653,,54 Ewingsdale Road,Ewingsdale,NSW,2481,,N,Y,Y,N,,,,N,9:00 AM,,,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-04 10:30 am
CID00087,Campbelltown Histopath Pathology Drive-through Clinic,150.787544,-34.068295,"Western Sydney University, Car Park 8",Brian Smith Drive,Campbelltown,NSW,2560,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00089,Campbelltown Respiratory Clinic,150.8124686,-34.0682525,Shop 1,251 Queen Street,Campbelltown,NSW,2560,,N,N,Y,Y,https://www.hotdoc.com.au/medical-centres/campbelltown-NSW-2560/campbelltown-respiratory-clinic/doctors?purpose=respiratory,02 4608 9772,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,1:00 PM,,,,,,02 9005 7005,,,,,,2023-01-10 4:30 pm
CID00090,Campbelltown/Leumeah Histopath Pathology Drive-through Clinic,150.831223,-34.049327,Commuter Car Park,Plough Inn Road,Leumeah,NSW,2560,,Y,Y,N,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00094,Canowindra Soldiers Memorial Hospital Clinic,148.672492398019,-33.5574038892014,,Browns Avenue,Canowindra,NSW,2804,,N,Y,Y,Y,,(02) 6364 4300,,N,11:00 AM,,,11:30 AM,11:00 AM,,,11:30 AM,11:00 AM,,,11:30 AM,11:00 AM,,,11:30 AM,11:00 AM,,,11:30 AM,,,,,,,,,,,,,Testing available by appointment ,Closed on public holidays.,,2023-01-18 9:31 am
CID00097,Caringbah Histopath Pathology Walk-in Clinic,151.121074,-34.04158,,348R Kingsway,Caringbah,NSW,2229,Next to the pedestrian access linking the Kingsway to the supermarket.,N,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00103,Castle Hill Clinical Labs Pathology Drive-through Clinic,150.98582,-33.724302,Castle Hill Showground,Showground Road,Castle Hill,NSW,2154,Enter off Showground Road at the traffic lights between the intersections at Gilbert and Carrington Roads.,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-03-23 8:45 am
CID00114,Chifley Histopath Pathology Drive-through Clinic,151.2380973,-33.97435,Chifley Sports Reserve,800-899R Bunnerong Road,Chifley,NSW,2036,,Y,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00118,Cobram Hospital Clinic,145.651092597437,-35.9164912021514,,24-32 Broadway Street,Cobram,VIC,3644,,N,N,N,Y,,(03) 5871 0777,,N,1:30 PM,,,3:30 PM,1:30 PM,,,3:30 PM,1:30 PM,,,3:30 PM,1:30 PM,,,3:30 PM,1:30 PM,,,3:30 PM,,,,,,,,,,,,,,,,2021-11-26 4:20 pm
CID00122,Collarenebri Multi-Purpose Health Service Drive-through Clinic,148.580726651752,-29.518864905295,,Walgett Street,Collarenebri,NSW,2833,,Y,Y,N,Y,,(02) 6756 4800,,N,9:00 AM,,,12:30 PM,9:00 AM,,,12:30 PM,9:00 AM,,,12:30 PM,9:00 AM,,,12:30 PM,9:00 AM,,,12:30 PM,,,,,,,,,,,,,Testing available by appointment on public holidays.,Closed on public holidays.,,2023-01-18 9:31 am
CID00124,Concord Hospital Clinic,151.091991,-33.836616,NSW Institute of Sports Medicine,Hospital Road,Concord West,NSW,2138,Opposite Emergency Department.,N,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,2023-01-10 4:30 pm
CID00125,Condobolin Multi-Purpose Health Service Clinic,147.155073363907,-33.0819350913314,Condobolin Hospital,2 Madeline Street,Condobolin,NSW,2877,Near emergency department entry.,N,Y,Y,Y,,(02) 6890 1511,,N,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,,,,,,,,,,,,,,Closed on public holidays.,,2023-01-18 9:31 am
CID00127,Coolah Multi-Purpose Service Drive-through Clinic,149.71546272497,-31.8229761471334,,Martin Street,Coolah,NSW,2843,,N,Y,Y,Y,,(02) 6377 9100,,N,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,,,,,,,,,,,,,,Closed on public holidays.,,2023-01-18 9:45 am
CID00135,Burwood (Railway Parade) Histopath Drive-through Clinic,151.101085399774,-33.8775084224329,,60 Railway Parade,Burwood,NSW,2134,Access off Wynne Street.,Y,N,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00137,Cowra Respiratory Clinic,148.6951241,-33.8356693,Cowra Medical Associates,165-169 Kendal Street,Cowra,NSW,2794,,N,N,N,Y,https://www.hotdoc.com.au/medical-centres/book/appointment/patient?clinic=4516,(02) 6341 1400,,N,8:30 AM,,,12:30 PM,8:30 AM,,,12:30 PM,8:30 AM,,,12:30 PM,8:30 AM,,,12:30 PM,8:30 AM,,,12:30 PM,,,,,,,,,,,,,,,,2023-01-03 2:30 pm
CID00142,Daceyville Clinical Labs Pathology Drive-through Clinic,151.2288911060929,-33.93217378847263,Rowland Park,10-14 Prince Edward Circle,Daceyville,NSW,2032,,Y,Y,N,N,,,,N,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,,(02) 8745 6500,,,,,https://www.clinicallabs.com.au/,2023-04-21 10:15 am
CID00143,Dapto Histopath Pathology Drive-through and Walk-In Clinic,150.794479961777,-34.5029762656499,Lakelands Oval Carpark,Lakelands Drive,Dapto,NSW,2530,,Y,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:30 am
CID00144,Dee Why Respiratory Clinic,151.2828551,-33.7556633,,G/5 Mooramba Road,Dee Why,NSW,2099,,N,N,Y,Y,https://www.hotdoc.com.au/medical-centres/dee-why-NSW-2099/dee-why-respiratory-clinic/doctors?purpose=respiratory,(02) 8416 5005,,N,8:00 AM,,,12:00 PM,8:00 AM,,,1:00 PM,8:00 AM,,,1:00 PM,8:30 AM,,,1:00 PM,8:00 AM,,,1:00 PM,,,,,,,,,,,,,,,,2023-01-10 3:30 pm
CID00148,Dubbo Histopath Pathology Walk-in Clinic,148.6024814453013,-32.25243845316831,,1/207 Brisbane Street ,Dubbo,NSW,2830,Walk-in clinic only. Open Saturday 1st April 2023,N,Y,N,N,,,,N,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,,(02) 9878 8111,,,,Now a walk-in clinic only,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00150,Dubbo Respiratory Clinic,148.6028915,-32.2504375,Dubbo Medical and Allied Health Group,183 Brisbane Street,Dubbo,NSW,2830,Call (02) 6815 9900 when you arrive and remain in your vehicle until called for your appointment.,N,Y,Y,Y,https://www.hotdoc.com.au/medical-centres/book/appointment/patient?clinic=4457,02 6815 9900,,N,1:30 PM,,,5:30 PM,1:30 PM,,,5:30 PM,1:30 PM,,,5:30 PM,1:30 PM,,,5:30 PM,1:30 PM,,,5:30 PM,,,,,,,,,,,,,,,,2023-01-03 2:30 pm
CID00152,Dunedoo Multi-Purpose Health Service Walk-in Clinic,149.394468370999,-32.0170691438955,,Digilah Street,Dunedoo,NSW,2844,,N,N,Y,Y,,(02) 6370 3000,,N,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,2:00 PM,,,3:00 PM,,,,,,,,2022-05-25 12:02 pm
CID00155,Earlwood 4Cyte Pathology Drive-through and Walk-in Clinic,151.118736285276,-33.9248300663194,Earlwood Bowling Club Carpark,134 Woolcott Street,Earlwood,NSW,2206,,Y,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00161,Emerald Hills Clinical Labs Pathology Drive-through Clinic,150.792234,-33.996384,Emerald Hills Shopping Village,Emerald Hills Boulevard,Leppington,NSW,2179,,Y,Y,N,N,,,,N,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-04-04 2:45 pm
CID00167,Fairfield Histopath Pathology Drive-through Clinic,150.95702496897,-33.8770551310524,Fairfield Baseball Club,21 Ulverstone Street,Fairfield,NSW,2165,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00173,Forbes Hospital Clinic,148.014068917105,-33.395789605677,,Elgin Street,Forbes,NSW,2871,,Y,Y,N,Y,,02 6850 7100,,N,12:30 PM,,,1:30 PM,12:30 PM,,,1:30 PM,12:30 PM,,,1:30 PM,12:30 PM,,,1:30 PM,12:30 PM,,,1:30 PM,,,,,,,,,,,,,"Bookings can be made by calling the Forbes Hospital on (02) 6850 7100 8.30am to 5pm, Monday to Friday.",,,2022-07-06 2:45 pm
CID00190,Grafton Base Hospital Clinic,152.94063302686195,-29.675238104792722,Grafton Base Hospital,Arthur Street,Grafton,NSW,2460,,N,Y,Y,N,,,,N,9:00 AM,,,1:00 PM,9:00 AM,,,1:00 PM,9:00 AM,,,1:00 PM,9:00 AM,,,1:00 PM,9:00 AM,,,1:00 PM,,,,,,,,,,,,,,,,2023-01-03 10:00 am
CID00196,Grenfell Drive-through Clinic,148.167338,-33.894345,Grenfell Community Health,80 Cowra Road,Grenfell,NSW,2810,,Y,Y,N,Y,,0458 481 457,,N,9:30 AM,,,10:30 AM,9:30 AM,,,10:30 AM,9:30 AM,,,10:30 AM,9:30 AM,,,10:30 AM,9:30 AM,,,10:30 AM,,,,,,,,,,,,,,Closed on public holidays.,,2023-01-18 9:45 am
CID00207,Haberfield 4Cyte Pathology Drive-through and Walk-in Clinic,151.133665313502,-33.882395961859,,181 Parramatta Road,Haberfield,NSW,2045,,Y,Y,Y,N,,,,N,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00208,Hammondville 4Cyte Pathology Drive-through and Walk-in Clinic,150.95676414571,-33.9552897265724,Moorebank Sports Club,230 Heathcote Road,Hammondville,NSW,2170,,Y,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00217,Hinchinbrook 4Cyte Pathology Drive-through and Walk-in Clinic,150.869041667214,-33.9256577984073,Hoxton Park Seven-Day Adventist Church,355 Hoxton Park Road,Hinchinbrook,NSW,2168,,Y,Y,Y,N,,,,N,7:00 AM,,,6:00 PM,7:00 AM,,,6:00 PM,7:00 AM,,,6:00 PM,7:00 AM,,,6:00 PM,7:00 AM,,,4:00 PM,,,,,7:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00218,Hornsby Clinical Labs Pathology Drive-through Clinic,151.09601048669217,-33.70465828763677,Overflow Car Park Hornsby RSL,7-17 Ashley Street,Hornsby,NSW,2077,,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-03-23 4:15 pm
